reactions,metabolites,metabolitestotal,gpr,genes
UAAGLS2,uamag_c,uamag,TM0237,TM0237
TMDK1,thymd_c,thymd,TM0401,TM0401
OXADC,oxa_c,oxa,TM1287,TM1287
3SALATAi_num1,3sala_c,3sala,TM1698,TM1698
3SALATAi_num1,akg_c,akg,TM1698,TM1698
PANTS,ala_B_c,ala_B,TM1077,TM1077
PANTS,pant__R_c,pant__R,TM1077,TM1077
PAPPT2,uGgla_c,uGgla,TM0235,TM0235
PAPPT2,udcpp_c,udcpp,TM0235,TM0235
RAFFabc,raffin_e,raffin,TM1204 and TM1203 and TM1202,TM1204
RAFFabc,raffin_e,raffin,TM1204 and TM1203 and TM1202,TM1203
RAFFabc,raffin_e,raffin,TM1204 and TM1203 and TM1202,TM1202
SHSL2r,suchms_c,suchms,TM1270,TM1270
SHSL4r,suchms_c,suchms,TM1270,TM1270
TALA,g3p_c,g3p,TM0295,TM0295
TALA,s7p_c,s7p,TM0295,TM0295
EHGLAT_num1,akg_c,akg,TM1698,TM1698
EHGLAT_num1,e4hglu_c,e4hglu,TM1698,TM1698
SUCR_num1,sucr_c,sucr,TM1414,TM1414
PBUTT,btcoa_c,btcoa,TM1755,TM1755
PFK,f6p_c,f6p,TM0209,TM0209
PFK_ppi,f6p_c,f6p,TM0289,TM0289
PYK,pep_c,pep,TM0208,TM0208
PUNP2_num1,dad_2_c,dad_2,TM1737,TM1737
LCYSTAT_num1,Lcyst_c,Lcyst,TM1698,TM1698
LCYSTAT_num1,akg_c,akg,TM1698,TM1698
PUNP3_num1,gsn_c,gsn,TM1737,TM1737
SPMDabc,spmd_e,spmd,TM1376 and TM1377 and TM1378 and TM1375,TM1378
SPMDabc,spmd_e,spmd,TM1376 and TM1377 and TM1378 and TM1375,TM1376
SPMDabc,spmd_e,spmd,TM1376 and TM1377 and TM1378 and TM1375,TM1375
SPMDabc,spmd_e,spmd,TM1376 and TM1377 and TM1378 and TM1375,TM1377
PYNP1,csn_c,csn,TM1653,TM1653
PYNP1,r1p_c,r1p,TM1653,TM1653
TMDPP,thymd_c,thymd,TM1653,TM1653
QULNS,dhap_c,dhap,TM1644,TM1644
QULNS,iasp_c,iasp,TM1644,TM1644
THPAT,accoa_c,accoa,TM1519,TM1519
THPAT,thdp_c,thdp,TM1519,TM1519
PGCD,3pg_c,3pg,TM0327,TM0327
PGK,3pg_c,3pg,TM0689,TM0689
PGL,6pgl_c,6pgl,TM1154,TM1154
PGSA160,cdpdhdecg_c,cdpdhdecg,TM1861,TM1861
PGSA160,glyc3p_c,glyc3p,TM1861,TM1861
PNTK,pnto__R_c,pnto__R,TM0883,TM0883
PHETRS,phe__L_c,phe__L,TM0821 and TM0822,TM0821
